nombre,edad,direccion,telefono,pasaporte,sexo,sodiaco
Beatriz Martinez,19,Calle Parque 282,0415-4744854,P28728463,m,Acuario
Enrique Gutierrez,23,Calle Comercio 433,0412-1499914,P22575562,m,Cancer
Monica Ramos,19,Av. Bolivar 204,0423-8038374,P39587039,f,Capricornio
Fernando Garcia,66,Av. Independencia 164,0423-8090293,P55667651,f,Geminis
Andres Rivera,24,Calle Sol 390,0413-7022674,P56164955,F,Aries
Silvia Cruz,52,Calle Sol 997,0418-2322047,P84093639,F,Acuario
Jose Gomez,54,Calle Luna 722,0413-1768805,P98753260,M,Leo
Diego Ramirez,73,Calle Sol 390,0416-8606962,P95320121,F,Geminis
Eduardo Gomez,31,Av. Universidad 274,0423-2197935,P91756179,M,Sagitario
Silvia Ramirez,28,Calle Este 389,0416-4684531,P53524491,M,Cancer
Maria Rivera,43,Av. Central 68,0415-6279418,P38538251,F,Libra
Tomas Cruz,27,Av. Central 143,0415-5408072,P88461803,F,Capricornio
Francisco Gomez,32,Av. Principal 522,0419-2525206,P16323852,M,Geminis
Beatriz Perez,68,Av. Universidad 433,0421-2065818,P61642594,F,Capricornio
Manuel Ortiz,34,Av. Bolivar 882,0412-2921859,P82070937,F,Acuario
Roberto Martinez,36,Av. Sur 162,0419-1054447,P45351479,M,Sagitario
Elena Flores,71,Av. Universidad 520,0421-4337174,P30513739,F,Geminis
Claudia Ortiz,18,Calle Comercio 332,0419-1326765,P25014631,F,Leo
Ricardo Rodriguez,33,Av. Paez 581,0413-2437026,P75228535,M,Sagitario
Pablo Gonzalez,26,Av. Universidad 487,0420-3770370,P45575298,F,Cancer
Claudia Sanchez,63,Av. Central 409,0422-7264956,P68800797,F,Tauro
Ricardo Ramirez,22,Calle Norte 22,0421-4860684,P88979095,M,Aries
Sofia Rodriguez,32,Calle Sol 928,0412-6543670,P19510312,M,Leo
Rosa Morales,31,Av. Bolivar 136,0423-8930103,P42614537,F,Libra
Paula Martinez,24,Av. Universidad 442,0417-8106470,P65177213,F,Piscis
Carlos Martinez,21,Av. Sur 746,0417-2833230,P43374088,M,Cancer
Claudia Cruz,26,Av. Sur 188,0416-8761611,P43528453,M,Escorpio
Oscar Martinez,21,Av. Universidad 554,0412-2564689,P41726318,M,Libra
Sergio Morales,31,Calle Rio 411,0412-3762152,P60864911,M,Libra
Isabel Cruz,36,Av. Sur 714,0423-9164991,P30776478,M,Leo
Andres Rodriguez,55,Calle Parque 556,0412-6261415,P17672593,M,Capricornio
Alejandra Ortiz,72,Av. Bolivar 162,0412-9519948,P20752378,M,Tauro
Adriana Lopez,61,Calle Rio 241,0418-3011363,P86460539,M,Capricornio
Adriana Rodriguez,57,Calle Sol 430,0422-9770838,P52462441,F,Cancer
Rosa Rivera,33,Av. Central 406,0414-6033115,P71367643,F,Tauro
Ana Cruz,57,Calle Comercio 103,0413-4576135,P77898694,F,Geminis
Patricia Lopez,74,Calle Luna 379,0416-3646552,P68812137,F,Capricornio
Tomas Ortiz,18,Av. Universidad 837,0420-6022741,P99038526,M,Geminis
Isabel Martinez,74,Calle Sol 761,0420-3607983,P46553958,F,Capricornio
Andres Rivera,31,Av. Universidad 650,0416-9479356,P75569635,F,Aries
Diego Reyes,71,Av. Central 46,0412-6596150,P27558317,F,Geminis
Enrique Cruz,53,Calle Parque 438,0420-1162230,P25015458,M,Piscis
Pedro Gutierrez,20,Calle Rio 379,0421-3484601,P67684996,M,Aries
Hector Gomez,75,Av. Paez 816,0412-7003042,P38195995,M,Acuario
Elena Gomez,67,Av. Bolivar 906,0418-3592974,P41774346,M,Geminis
Gabriela Garcia,29,Calle Parque 947,0417-7907400,P99913412,M,Leo
Carmen Martinez,42,Calle Rio 40,0419-4731818,P36786211,F,Virgo
Hector Ramirez,32,Av. Libertador 676,0415-7685149,P54058573,F,Tauro
Pablo Torres,40,Av. Universidad 522,0418-9996207,P54446182,M,Tauro
Isabel Perez,55,Av. Central 40,0413-8290770,P56397338,F,Libra
